hashtag,deg_cov,deg_5g,PR_cov,PR_5g
iot,26,193,0.0045695837625466884,0.014571340344553351
cybersecurity,13,110,0.009903128393919474,0.010822076591692412
smartcity,20,121,0.01404953630178475,0.010670159677690055
ai,18,126,0.003020397643963304,0.010634278703494591
italia,20,191,0.008596897997370647,0.009596937501741037
huawei,8,145,0.0027572660266574358,0.009412206616980782
cina,29,101,0.01088368155910995,0.007437577564295669
smartphone,12,167,0.0035236188672192765,0.007324392214790325
robotics,18,66,0.003020397643963304,0.0070557021058104425
selfdrivingcars,18,58,0.003020397643963304,0.007005406620511356
selfdriving,18,58,0.003020397643963304,0.007005406620511356
autonomousvehicles,18,58,0.003020397643963304,0.006902567879120143
autonomous,18,58,0.003020397643963304,0.0068702721724346804
driverless,18,58,0.003020397643963304,0.006868172912512496
guidaautonoma,18,56,0.003020397643963304,0.006731047270012237
driverlesscars,18,58,0.003020397643963304,0.006540564662402223
tech,18,98,0.003020397643963304,0.006477601754851093
startups,18,55,0.003020397643963304,0.006101774045432437
sicurezza,9,55,0.009264191179501294,0.0060810420479609825
startup,18,62,0.003020397643963304,0.005550687702778193
robot,21,60,0.003677302657744181,0.005509611627231687
governo,6,49,0.0024456102131490305,0.004617863743036877
internet,7,83,0.0027291702091855395,0.004608912357553899
ue,9,66,0.005632121081811291,0.004444693703202433
smartworking,10,94,0.0035591165883604946,0.004294070875313809
usa,20,83,0.004972191273196593,0.004284539159312833
tecnologia,20,98,0.009790764143142514,0.004194730537366445
tlc,13,54,0.0031001738748638497,0.003812011148339444
conte,6,57,0.0020748702104199453,0.0037796831403192105
stop5g,9,60,0.003523551601615848,0.003664290068822564
tim,10,93,0.0024538566403557107,0.00330199885106412
daleggere,4,31,0.0020319762113068128,0.0031871638963418035
covid_19,4,51,0.012390839963847348,0.003098852229164765
confindustria,6,15,0.008360587795684627,0.0028183844903823378
vaccini,10,31,0.0074624948410977375,0.002757660764076375
virus,5,63,0.0022197464022049827,0.002515568480284164
bigdata,4,57,0.001077859716849889,0.002442518892545526
covid2019,11,60,0.0032157479617426913,0.0023268118038287365
gunterpauli,7,8,0.008716113726725068,0.0022945862885967983
decretocuraitalia,6,6,0.008360587795684627,0.002240835832153552
palazzochigi,6,6,0.008360587795684627,0.002240835832153552
boccia,6,6,0.008360587795684627,0.002240835832153552
sindacati,6,6,0.008360587795684627,0.002240835832153552
pandemia,11,34,0.006967010244805713,0.0022391364264111847
wuhan,20,25,0.017638060354400745,0.002215982833502574
covid_19italia,2,39,0.004215960808237299,0.002196781158842383
coronavirusitalia,7,41,0.0032445776623122946,0.002165664213638677
coronavid19,6,25,0.0017510249415242506,0.002148743817025012
4g,7,39,0.0027291702091855395,0.0021024477732711107
artificialintelligence,18,45,0.003020397643963304,0.0020141307848484677
fakenews,6,37,0.006012066147315009,0.0019861153476311445
5gcoronavirus,8,37,0.0023543892337307562,0.0019644662182594645
iphone,5,30,0.0023833610207535582,0.001935657943364565
vodafone,8,56,0.003190808399383992,0.0018876885246255917
zte,4,21,0.0017533104867756193,0.0018799385117474572
covid19italia,6,68,0.001895963182672119,0.0018114740513426122
economia,5,59,0.0023282278860294733,0.0017315055861811793
lavoro,5,47,0.0013084214959091772,0.00171326338191172
android,12,47,0.0035236188672192765,0.001684230895431704
italy,3,30,0.0009608343806472336,0.0015786897545927913
covidー19,7,33,0.002227841292296758,0.0015774964438389008
cia,6,15,0.003995314465523703,0.0015509420149900123
apple,5,32,0.0023833610207535582,0.0015392018582140153
ar,1,13,0.004321488831820541,0.0015098248440736884
telemedicina,5,29,0.001972081082635809,0.0014464011779819217
intelligence,5,21,0.008390363338524756,0.0014424546731090229
mes,2,21,0.0011053479155759321,0.0014114038752621558
droni,15,23,0.00362638424797139,0.001405150418477444
viadellaseta,2,27,0.001105347915575933,0.0013769967696769423
germania,13,16,0.007139177062664945,0.0013714761966332931
francia,9,15,0.005632121081811288,0.0013630668591037493
europa,3,23,0.001794771590104155,0.0013345494704032936
technews,12,32,0.0035236188672192765,0.0013080191180856813
sicurezzanazionale,5,13,0.008390363338524756,0.0013049090106073546
bandalarga,5,19,0.008390363338524756,0.0012863931405038653
snapdragon,19,32,0.005211493874949126,0.0012743295275988262
network,5,28,0.001797831505612046,0.0012684465703600638
privacy,7,11,0.004139849206201092,0.0012380620230132056
coronavirusitaly,5,18,0.0019084558063218765,0.0012356349328295482
report,3,15,0.0032728834477789015,0.001233065293769062
video,2,46,0.0011053479155759324,0.0012239623663126066
quarantena,7,25,0.002573928166794203,0.00119080729967888
sistemaimmunitario,6,9,0.003995314465523703,0.0011829760058198215
adessodibba,9,12,0.005632121081811288,0.00116863697057245
smartphones,12,30,0.0035236188672192765,0.0011635704269559784
videosorveglianza,10,25,0.002453856640355711,0.0011565352234455518
china,10,32,0.003579125386174951,0.001153993321998315
mobility,18,26,0.003020397643963304,0.0011507385651464911
telco,9,26,0.002886616309338117,0.0011334222132858593
capacità,5,8,0.001797831505612046,0.0011210112353610476
brevetti,6,13,0.003995314465523703,0.0010906161675335853
luissbusiness,5,10,0.0015233784586587086,0.001086396812419301
febbre,3,3,0.0009490532542153518,0.0010689698442595773
applenews,5,15,0.0023833610207535582,0.0010612672991655893
appleblog,5,15,0.0023833610207535582,0.0010612672991655893
trojan,3,11,0.0032728834477789015,0.001046125275779215
iorestoacasa,13,21,0.005327194082869197,0.0010256646316400557
resetfinanziarioglobale,6,6,0.003995314465523703,0.0009924513323030472
armabiologica,6,6,0.003995314465523703,0.0009924513323030472
italexit,9,9,0.00563212108181129,0.0009871432171231383
eurogroupe,9,9,0.00563212108181129,0.0009871432171231383
lezzi,9,9,0.005632121081811291,0.0009871432171231383
crisieconomica,9,9,0.005632121081811291,0.0009871432171231383
madeinitaly,3,24,0.003842649009020281,0.0009869128984064477
coronashow,4,17,0.001890990684991946,0.0009433804165401049
automazione,10,34,0.002453856640355711,0.0009368005982611037
roma,4,16,0.001422426023079567,0.0008993476958755335
android10,8,20,0.00213518719312965,0.0008763756054689809
telecom,15,19,0.0037538339983313536,0.0008508361621067044
ia,5,17,0.004632881650492907,0.0008417567431949282
robotica,13,25,0.0037464919515387803,0.0008342906234635829
nwo,8,11,0.003951392073360034,0.0008323985462379213
dazi,14,17,0.005615590135635879,0.0007825741534110541
gaming,8,17,0.00213518719312965,0.0007799966426881288
networking,5,15,0.0017978315056120465,0.000770816711692907
complottismo,2,9,0.0011053479155759334,0.0006646371501506965
digiteconomy24,5,5,0.0015233784586587086,0.0006461037123405527
umanoidi,4,9,0.001751162968653205,0.000625685334556343
novax,1,11,0.0007626755266411381,0.0006211999965097143
bloomberg,5,14,0.0023833610207535582,0.0006041776782970453
flyme8,12,12,0.0035236188672192765,0.0005827488342095604
meizu,12,12,0.0035236188672192765,0.0005827488342095604
meizu17,12,12,0.0035236188672192765,0.0005827488342095603
techno,12,12,0.0035236188672192765,0.0005827488342095603
selfie,12,12,0.0035236188672192765,0.0005827488342095603
fotografia,12,12,0.0035236188672192765,0.0005827488342095603
3g,7,10,0.0027291702091855395,0.0005764826408233642
sciechimiche,3,10,0.0014667116572065271,0.0005548558782088912
psyop,12,23,0.002256724502024912,0.0005414815341359273
covid2019italia,7,15,0.002084349386105502,0.0005387782602913007
restiamoacasa,2,21,0.0013263922202454573,0.0005367314871488748
security,10,14,0.002453856640355711,0.0005343638539577774
cercasicavieumane,3,5,0.0018906152946615953,0.0005293731170244149
vaccino,2,12,0.0011053479155759324,0.0005225900343053479
pd,6,17,0.0018567445518537997,0.0005122762509231828
sars,3,3,0.003842649009020281,0.0004966083625824187
pillolesuldigitale,5,11,0.001916363737963663,0.00047527205060857907
amodeo,3,4,0.001794771590104155,0.0004707560930364214
whuan,2,2,0.0029541312938492718,0.00046882975152026977
comuni,3,3,0.0014667116572065241,0.0004672452970214177
aerei,3,3,0.0014667116572065241,0.0004672452970214177
sindaci,3,3,0.0014667116572065241,0.0004672452970214177
19febbraio,5,14,0.001916363737963663,0.00046356338433281693
palermo,9,15,0.0020126607161201214,0.00045896080587256346
trasporti,10,15,0.002453856640355711,0.000450485435792042
ultrabroadband,5,5,0.001797831505612046,0.00042328235892855824
pandemie,4,8,0.0016522419566988996,0.0004191099159497093
twitter,4,9,0.0012466718192658205,0.000415734947502783
wireless,15,3,0.0037538339983313536,0.0004103109764967556
propagandavaccinale,4,4,0.0020982883792165364,0.0003999074719692132
gates,4,4,0.002098288379216537,0.0003999074719692132
netflix,4,4,0.002098288379216537,0.0003999074719692132
pauli,5,8,0.0018112726061370516,0.0003839939275711232
ehealth,5,12,0.001972081082635809,0.0003814110791352032
leolov,7,7,0.0027291702091855395,0.0003799733956038874
homeoffice,7,7,0.0027291702091855395,0.0003799733956038874
giochimilitari,12,12,0.002736557055212398,0.00037450614558719647
rogphone,8,8,0.00213518719312965,0.00037374473039403883
asus,8,8,0.00213518719312965,0.00037374473039403883
game,8,8,0.00213518719312965,0.00037374473039403883
smarphone,8,8,0.00213518719312965,0.00037374473039403883
googlestadia,8,8,0.00213518719312965,0.00037374473039403883
bergamo,1,6,0.0006355750514561616,0.0003731105659409418
robots,18,19,0.003020397643963304,0.00037164541390114327
turchia,5,10,0.0016165448958075208,0.0003567860946778644
sanita,5,7,0.001972081082635809,0.00034397352732554653
epidemia,5,5,0.0023282278860294733,0.0003284557632852252
deglobalizzazione,5,5,0.0023282278860294733,0.0003284557632852252
globalizzazione,5,5,0.0023282278860294733,0.0003284557632852252
cavie,4,12,0.001422426023079567,0.0003258168755156667
corona,2,6,0.0008050867476734363,0.00032577926811853887
grillo,4,7,0.001751162968653205,0.00032382628776928034
fortbragg,12,12,0.002256724502024912,0.00032071721647712283
guerra,12,12,0.002256724502024912,0.0003207172164771228
bioterrorismo,12,12,0.002256724502024912,0.0003207172164771228
attacco,12,12,0.002256724502024912,0.0003207172164771228
delta,12,12,0.002256724502024912,0.0003207172164771227
med,12,12,0.002256724502024912,0.0003207172164771227
economiacontagiata,2,2,0.002476381180227718,0.00030804700960101794
lafleacasatua,4,4,0.002208335834859504,0.0003078817660706001
dirittiumani,4,4,0.002208335834859504,0.0003078817660706001
svizzera,3,7,0.0014485332091424108,0.0003026517808258234
danni,1,2,0.0007626755266411381,0.0002855802252018292
