hashtag,PR
coronavirusitalia,0.025278908750906066
conte,0.02305090963111331
cina,0.022035417842837725
covid19italia,0.020572066226664645
italia,0.01787524175495413
radiosavana,0.01764293005943392
lombardia,0.01610578464324756
coronavirusitalla,0.014159153280459646
covid2019,0.013883510422945795
covid_19,0.012822529297744382
covidー19,0.012765780779158754
governo,0.012507674094940175
fontana,0.011756920771144598
coronaviruscanada,0.010466096373674622
coronaviruschina,0.010432657046295174
migranti,0.009739757777068328
coronavirusjapan,0.00970490428357542
coronavirusoutbreak,0.009704904283575377
coronavirusmexico,0.009704904283575337
coronaviruswuhan,0.009704904283575337
coronavirususa,0.009704904283575337
coronavirusfrance,0.009704904283575337
coronavirusthailand,0.009704904283575334
codogno,0.009498682701646836
africa,0.009300015516507276
mattarella,0.008760744281477606
drittoerovescio,0.008760744281477606
portaaporta,0.008270516621790461
corona,0.008152924362920621
governodelcontagio,0.007892425419963704
coronavirusitaly,0.00773933598191613
veneto,0.007661834441219372
zaia,0.007620784566560789
salvini,0.007594953873560696
facciamorete,0.007448657257413754
viruscorona,0.007052267337259154
orban,0.0069736372171359615
roma,0.006752242684282134
iraq,0.006720714389985118
turchia,0.006720714389985118
bertolaso,0.00669464747074725
australia,0.006587277629736319
contedimettiti,0.0062654813075284175
covid19italy,0.006241795858137044
pechino,0.0062163728301787855
brilliantbritish,0.006125146702006887
coronavirusuk,0.0061251467020068855
beautifullondon,0.0061251467020068855
discrimination,0.0061251467020068855
lega,0.006001273316358706
barconi,0.005970526902129565
sansonetti,0.005970526902129565
costamagna,0.005970526902129565
meloni,0.005970526902129565
quarantena,0.005612909501571314
russia,0.0054657016106472445
statiuniti,0.0054657016106472445
padova,0.005369253570340772
burioni,0.005340625616208256
lamorgese,0.0052247561564698975
virus,0.005073296872804976
coronavirues,0.005057673643637785
aggiornamento,0.005017122129573382
viruscina,0.005017122129573382
contagio,0.005017122129573382
wuhan,0.005017122129573382
viruscinese,0.005017122129573382
viruschinois,0.005017122129573382
viruschina,0.005017122129573382
covid_2019,0.004999951173232108
iorestoacasa,0.0047958058807864
la7,0.0046915900555495665
giletti,0.0046915900555495665
tonicapuozzo,0.004691590055549565
nonelarena,0.004691590055549565
sileri,0.004691590055549565
democrazia,0.004564962347102796
coronavid19,0.004554212645982647
voeuganeo,0.0044390684821260865
folgore,0.0044390684821260865
oceanviking,0.0044390684821260865
pozzallo,0.0044390684821260865
schettino,0.004292527527256344
basta,0.004292527527256344
mes,0.004263272247164412
economics,0.0039622233605936825
lagarde,0.0039622233605936825
crisis,0.0039622233605936825
quartarepubblica,0.0039622233605936825
fuoridalcoro,0.003962223360593681
carceri,0.003962223360593681
borsa,0.003962223360593681
giuseppi,0.003962223360593681
churchill,0.003962223360593681
ong,0.00396222336059368
ansa,0.003922302849824059
milanononsiferma,0.0039007407652386045
milanoêtuttainfetta,0.0039007407652386045
lineanotte,0.0039007407652386045
coronavirusupdate,0.003889387217530446
23febbraio,0.003872798053729262
koca,0.0038197230151024533
sudcorea,0.0038197230151024533
iran,0.0038197230151024533
propagandalive,0.003800764291650065
piazzapulita,0.003749875498039494
covid2019italia,0.0037203908084472506
sulaymaniyya,0.0035319819016709783
kurdistan,0.0035319819016709783
krg,0.0035319819016709783
amuchina,0.003526422701838775
fckkoronavirus,0.003526422701838775
italiazonarossa,0.0035186312615781584
restiamoacasa,0.0035186312615781584
rossi,0.00350309988175337
toscana2020,0.00350309988175337
elezioniregionali,0.00350309988175337
coronapandemie,0.003459191102344502
leonardo,0.003459191102344502
25marzo,0.003459191102344502
germania,0.003424953837380068
cavalloditroika,0.003424953837380068
speranza,0.0033816149391657177
adrianotrevisan,0.0032734084323114455
hongkong,0.003258283816659858
iostoacasa,0.003258283816659858
casalino,0.0032371868693391
grandefratello,0.0032371868693391
carolarackete,0.0032371868693391
nord,0.003120141889364661
sossa,0.003120141889364661
cheschifo,0.003120141889364661
travaglio,0.0030462047562503725
dittatore,0.0030462047562503725
epidemia,0.0030386370931399765
polmonite,0.0030386370931399765
ue,0.0030343285566847384
casalpusterlengo,0.0029366442433229863
coronarvirusitalia,0.0028027583151490755
regionefvg,0.0027554624455903053
1marzo,0.0027554624455903053
catenodeluca,0.002752526642841778
messina,0.002752526642841778
coronaviriusitalia,0.002678142655930451
codvid19italia,0.002678142655930451
smog,0.002678142655930451
torino,0.002678142655930451
attendezquonsorte,0.0026721505763282393
macrondestitution,0.002672150576328239
coronaviruslombardia,0.0026573753998290913
mascherina,0.002634214098074911
filippo,0.002606926627853828
reginaelisabetta,0.002606926627853828
crisanti,0.0025845303000397537
italie,0.0025802226671181056
hatchett,0.0025654525101361124
grippe,0.0025654525101361124
risorseinps,0.002552709325061804
bassignana,0.0024555141758565734
rete,0.0024555141758565734
infodemia,0.0024555141758565734
lesbo,0.002376746143748236
governorossogiallo,0.002350065091670983
coronvirusitalia,0.00234258741338704
di,0.0023324721666035625
vogliamovotare,0.002316432659274144
nigeria,0.0023062002069799458
etiopia,0.0023062002069799458
corus,0.0022568396059676724
m5s,0.0021357184446074567
barbarabalanzoni,0.0020953329618974043
inchiestacoronavirus,0.0020510109563879704
schengen,0.00203302235740481
ventisette02fr,0.002027693053557294
fake,0.0019716361982661293
superspreader,0.0019026543611430921
gentedimerda,0.0017805300694640647
xijinping,0.001694645232980552
contevirus,0.0015399320271600077
coronvirus,0.0015364865813887374
coranavirusitalia,0.0015193536739993112
milano,0.0014989828110159504
livorno,0.0014923586069779235
dimaio,0.001490147365354799
israele,0.0014429889021306144
politica,0.0014300480024853294
sciacallo,0.0014069923990496147
raggi,0.0013991331288680468
coronavirius,0.0013643956747164366
napoli,0.001338209417893834
carlotaormina,0.001338209417893834
titolov,0.0013318345259119727
nellatestadeldragone,0.001254318824176221
quartogrado,0.0010640561428711794
ctcf,0.0010640561428711794
zonerosse,0.0010640561428711794
narcoscanada,0.0009548165788757209
