hashtag,PR
coronavirus,0.023757647814446205
iot,0.014571340344553351
cybersecurity,0.010822076591692412
smartcity,0.010670159677690055
ai,0.010634278703494591
covid19,0.010538203677657077
italia,0.009596937501741037
huawei,0.009412206616980782
innovazione,0.0076207531703512965
cina,0.007437577564295669
smartphone,0.007324392214790325
robotics,0.0070557021058104425
selfdrivingcars,0.007005406620511356
selfdriving,0.007005406620511356
autonomousvehicles,0.006902567879120143
autonomous,0.0068702721724346804
driverless,0.006868172912512496
guidaautonoma,0.006731047270012237
driverlesscars,0.006540564662402223
tech,0.006477601754851093
startups,0.006101774045432437
sicurezza,0.0060810420479609825
startup,0.005550687702778193
robot,0.005509611627231687
governo,0.004617863743036877
internet,0.004608912357553899
ue,0.004444693703202433
smartworking,0.004294070875313809
usa,0.004284539159312833
tecnologia,0.004194730537366445
fibra,0.00394818407940829
tlc,0.003812011148339444
conte,0.0037796831403192105
stop5g,0.003664290068822564
xiaomi,0.003509659083037215
intelligenzaartificiale,0.0034587682751359436
tim,0.00330199885106412
daleggere,0.0031871638963418035
blockchain,0.0031621299488764883
digitale,0.003125199030685382
covid_19,0.003098852229164765
confindustria,0.0028183844903823378
copasir,0.0027936207903059267
vaccini,0.002757660764076375
rete,0.002702561720588565
digitaltransformation,0.0026305373366988724
mobile,0.002629786551882583
onu,0.002609851182455981
ict,0.002559122987571674
fastweb,0.0025358624333597203
electricvehicles,0.0025312800395369123
virus,0.002515568480284164
bigdata,0.002442518892545526
nato,0.002397809905328521
cloud,0.002375526731763174
covid2019,0.0023268118038287365
gunterpauli,0.0022945862885967983
libia,0.0022915860963020128
decretocuraitalia,0.002240835832153552
sindacati,0.002240835832153552
boccia,0.002240835832153552
palazzochigi,0.002240835832153552
pandemia,0.0022391364264111847
salute,0.00222201033741385
wuhan,0.002215982833502574
covid_19italia,0.002196781158842383
no5g,0.0021886180339217073
parlamento,0.002182591369688023
coronavirusitalia,0.002165664213638677
coronavid19,0.002148743817025012
qualcomm,0.002124182441246503
4g,0.0021024477732711107
servizisegreti,0.0021012149478515873
ericsson,0.0020641203413427236
fastwebrispondi,0.002042574618322309
wefastweb,0.002042574618322309
isis,0.002042494078976242
reti,0.0020159397423816995
artificialintelligence,0.0020141307848484677
fakenews,0.0019861153476311445
media,0.0019768736730187363
5gcoronavirus,0.0019644662182594645
israele,0.00195386498485541
iphone,0.001935657943364565
roma5g,0.0019353716617021295
telegram,0.0019331106452833168
key4biz,0.0019331106452833168
dataprotection,0.0019331106452833168
m5s,0.001911846034078349
mi10,0.0019043062219509877
vodafone,0.0018876885246255917
mise,0.0018876554303006716
zte,0.0018799385117474572
dittatura,0.0018458639182590175
covid19italia,0.0018114740513426122
vecchione,0.0018075760356647756
mi10pro,0.0017787894996498317
renzi,0.0017316889191825095
economia,0.0017315055861811793
windtre,0.0017218272345110065
lavoro,0.00171326338191172
bandaultralarga,0.0017054922803541866
tesla,0.001703053968393749
infrastrutture,0.0016857819959421121
android,0.001684230895431704
gas,0.001649384690710836
wifi,0.001642611051522894
edgecomputing,0.001636970236012819
inquinamento,0.0016367129632050392
italy,0.0015786897545927913
covidー19,0.0015774964438389008
sviluppo,0.0015623891604796877
aziende,0.001560798323238008
cia,0.0015509420149900123
apple,0.0015392018582140153
zingaretti,0.0015378153473182851
atac,0.0015378153473182851
ar,0.0015098248440736884
telecomunicazioni,0.001507023778043419
dualuse,0.00149654693079575
wipo,0.00149654693079575
datadriven,0.0014844031203771414
lockdown,0.0014578402184256358
telemedicina,0.0014464011779819217
intelligence,0.0014424546731090229
genova,0.00143880488668219
lg,0.0014138454851434486
mes,0.0014114038752621558
connessioni,0.001408395637424163
droni,0.001405150418477444
velocità,0.0013853394763433037
viadellaseta,0.0013769967696769423
germania,0.0013714761966332931
emf,0.0013669149157910338
francia,0.0013630668591037493
sanità,0.0013489248966599991
europa,0.0013345494704032936
tecnologie,0.0013345093055629705
technews,0.0013080191180856813
sicurezzanazionale,0.0013049090106073546
bandalarga,0.0012863931405038653
data,0.0012794677267725582
eni,0.0012748739964204337
snapdragon,0.0012743295275988262
network,0.0012684465703600638
oppo,0.0012665527211192364
basilicata,0.00125135953824139
smartcities,0.0012506373095438478
privacy,0.0012380620230132056
coronavirusitaly,0.0012356349328295482
report,0.001233065293769062
video,0.0012239623663126066
quarantena,0.00119080729967888
sistemaimmunitario,0.0011829760058198215
adessodibba,0.00116863697057245
smartphones,0.0011635704269559784
antenne,0.0011575576175041028
videosorveglianza,0.0011565352234455518
china,0.001153993321998315
cnit,0.001153641617024498
mobility,0.0011507385651464911
paese,0.0011393568815205944
telco,0.0011334222132858593
travel,0.0011301808527490907
verymobile,0.0011236344560796281
capacità,0.0011210112353610476
connettività,0.0011207529936799673
elettromagnetico,0.0011159664979376864
futuro,0.0011143010021418436
techie,0.0011084667184337194
democrazia,0.0011021538689623745
snapdragon865,0.0010961957952344403
fibraottica,0.00109100611492529
brevetti,0.0010906161675335853
luissbusiness,0.001086396812419301
aids,0.001077674200205577
samsung,0.0010690753119767056
febbre,0.0010689698442595773
appleblog,0.0010612672991655893
applenews,0.0010612672991655893
nokia,0.0010571861212696218
coronavirusupdate,0.0010531539728514474
trojan,0.001046125275779215
goldenpower,0.0010396875169436364
trump,0.0010336724866866537
shell,0.001028423817469521
total,0.001028423817469521
iorestoacasa,0.0010256646316400557
vivo,0.0010130061485171282
ioleggoacasa,0.0010039902736271263
boccardelli,0.001000436421025912
pianomarshall,0.001000436421025912
app,0.0009956243372448283
armabiologica,0.0009924513323030472
resetfinanziarioglobale,0.0009924513323030472
lezzi,0.0009871432171231383
crisieconomica,0.0009871432171231383
eurogroupe,0.0009871432171231383
italexit,0.0009871432171231383
madeinitaly,0.0009869128984064477
sony,0.0009633972367411372
sperimentazione,0.0009619578308117066
25marzo,0.0009561251138473613
torino,0.0009553793162689463
icnirp,0.0009516760236058658
digitali,0.00094724288686779
dis,0.0009466685035849412
coronashow,0.0009433804165401049
radioactivity,0.0009406302908945885
radiation,0.0009406302908945885
coronavirususa,0.0009406302908945885
coronaviruschallenge,0.0009406302908945885
coronaviruspandemic,0.0009406302908945885
distopya,0.0009406302908945885
middleclass,0.0009406302908945885
automazione,0.0009368005982611037
voxitalia,0.0009282897708005755
live,0.0009266454030461795
