hashtag,PRree
coronavirus,0.1615467750384787
covid19,0.055578638833112155
china,0.015997966416065015
covid,0.014470138927275554
coronavirusoutbreak,0.012583776687006712
covidー19,0.010409151120936284
wuhan,0.010362841970488654
covid_19,0.00990597170896541
covid2019,0.009418781859382183
corona,0.006173292652813981
coronavirusupdate,0.005849890429584809
pandemic,0.005431508312700933
wuhancoronavirus,0.0044280360492656495
coronaviruspandemic,0.004067758450806172
iran,0.0033008399737974163
trump,0.003135451096501469
quarantine,0.0029823216891010124
italy,0.002969678259912542
coronavirusupdates,0.002955375513444934
stayhome,0.0028434721260395318
hongkong,0.0027291886291185303
lockdown,0.0026988312307040887
coronaviruschina,0.002596028305752434
sarscov2,0.0025319940547952773
socialdistancing,0.002468325388558452
coronaoutbreak,0.002467929933878759
coronavirusindia,0.0023310884562395755
japan,0.002298052494287653
ccp,0.002276743703570063
chinavirus,0.002169180568341956
2019ncov,0.002059103314973073
武汉肺炎,0.0020203214367091856
stayhomesavelives,0.0018551967834265464
โควิด19,0.0018179738097574764
wuhanvirus,0.00179300865642824
usa,0.0017870489174288337
coronaviruschallenge,0.0017565361391186228
health,0.0017084359538572973
us,0.0016638355012106331
coronavirususa,0.001613166411957659
diamondprincess,0.0016120638130118336
stayathome,0.0015955112352938085
india,0.0015473052166999318
新冠肺炎,0.0015315068254868301
virus,0.001526524526448856
australia,0.0014269783687697543
flu,0.0014048594533524075
chinacoronavirus,0.0013792691154280925
thailand,0.0013718219466066794
nyc,0.0013601133730613275
climatechange,0.0013355697872021858
breaking,0.0012625749774908264
economy,0.0012471258110239556
turkey,0.001211151608865171
sars,0.0011588771884697069
trumpvirus,0.0011548817466345285
california,0.0011526639605342825
russia,0.0011525232025315685
coronaviruslockdown,0.0011479718451127806
thursdaymotivation,0.0011450692305683796
chinese,0.0011409219093951562
โคโรนาไวรัส,0.0011375434416942515
medtwitter,0.0011022600858618548
coronaalert,0.0010994616373843431
新冠病毒,0.0010885821443561432
cdc,0.0010841329841600718
quarantinelife,0.0010638157510260862
healthcare,0.0010451037162152728
supplychain,0.0010409068482093275
southkorea,0.001023537736640116
staysafe,0.0009989555794902918
clapfornhs,0.0009974199540365197
uk,0.000997123281109091
covid19india,0.000981683862303437
medical,0.0009662019424898139
auspol,0.0009538307171226313
ai,0.0009454299877467976
trumpdemic,0.0009315587986188723
carrielam,0.0009254072066342317
clapforourcarers,0.00092202377342375
healthtech,0.0009199778713813842
thursdaythoughts,0.0009188087640186005
tech,0.0009083208714403994
stayhomestaysafe,0.0009011927730993032
batflu,0.0008980064873008654
technology,0.0008723520077509237
ไวรัสโคโรน่า,0.0008618449113846011
lockdownnow,0.000853933868837194
publichealth,0.0008530380708299433
coronavirusus,0.0008527778585483663
asean,0.0008527378205593077
wuhanoutbreak,0.0008523552458212923
coronalockdown,0.0008516130400369303
stayhealthy,0.000848209354649904
singapore,0.0008465447268913578
canada,0.0008448245037634778
chinesevirus,0.0008432554719004368
indiafightscorona,0.0008322299158066217
georgia,0.0008245150930287409
nigeria,0.0008189049519851312
europe,0.0008144531321336753
flattenthecurve,0.0008140762421499161
chine,0.0008110349869854031
gold,0.0008057021831715473
hawaii,0.0008035238416444853
communism,0.0007853203440611868
ไวรัสโคโรนา,0.0007786796624034321
beijing,0.0007745188062710527
nhs,0.0007744556556165692
microsoft,0.0007726804901283375
seattle,0.0007685840203245852
worldhealthorganization,0.0007653001591410459
coronavirusfacts,0.0007477984519056126
school,0.0007390122415718713
quarantineandchill,0.0007328288510887422
coronapocalypse,0.0007227568206555836
covid19italia,0.0007220260605328773
covid19uk,0.0007193658316238017
maga,0.0007155920987794351
coronavirusnigeria,0.0007150613691852377
florida,0.0007147472160980706
indonesia,0.0007123338488119593
covid19us,0.0007068214091322877
coronavirusitalia,0.0007058265831034182
lockdown21,0.0007056222210095073
nspoli,0.0006988046865170748
uyghur,0.0006969404380457111
stayathomechallenge,0.0006949873108836
love,0.0006922737268305031
outbreak,0.0006818107438216957
texas,0.0006818107438216956
chicago,0.0006818107438216956
washyourhands,0.0006796256369982533
nstnation,0.0006734721732123406
movementcontrolorder,0.0006734721732123406
mco,0.0006734721732123405
coronavirusuk,0.0006716633921012406
baaghi3,0.0006708586781394397
wash,0.0006702238708295897
apple,0.0006676197985444689
veterans,0.0006675594229446353
huanan,0.0006668876231290603
ไวรัสโคโรนาสายพันธุ์ใหม่2019,0.0006662845793155133
hubei,0.0006629316123701689
coronavirius,0.0006592380106017543
ncov19,0.000653252353588196
wuhancoronavius,0.0006479200017365725
survival,0.0006460415695612644
chenqiushi,0.0006432937181260201
fangbin,0.0006432937181260201
opsanaanimam,0.0006427928284320424
hyderabad,0.0006423890144787926
who,0.0006422069593319985
healing,0.0006374075184901014
stockmarket,0.0006298262331118924
prc,0.0006289147398496973
southafrica,0.0006272238142353153
news,0.0006227992203618704
covidiot,0.0006164081420098453
coronacrisis,0.000616408142009845
mothersday,0.0006156530827081296
amazon,0.0006108674271648301
coronavirusoutbreakindia,0.0006104274349066508
coronavirusfrance,0.0006102171628382066
supplychains,0.0006064814714685935
iphone,0.0006063641760770806
survivor,0.0006050437724058099
southcarolina,0.0006050437724058099
minnesota,0.0006050437724058099
climatejustice,0.0006050437724058099
nevadacaucuses,0.0006050437724058099
farmersfirst,0.0006050437724058099
womenfirst,0.0006050437724058099
worldnews,0.0006050437724058099
meganandharry,0.0006050437724058099
damonjohn,0.0006050437724058099
politics,0.0006050437724058099
freedom2020,0.0006050437724058099
realangel,0.0006050437724058099
peace,0.0006050437724058099
mtv,0.0006050437724058099
hollywood,0.0006050437724058099
win,0.0006050437724058099
honesty,0.0006050437724058099
rossevelt,0.0006050437724058099
history,0.0006050437724058099
markets,0.0006044965174583681
코로나19,0.000597896548368528
canpoli,0.0005956181060512725
hrm,0.0005956181060512725
halifax,0.0005956181060512724
shanghai,0.000591596990248811
marketing,0.0005914855655382486
disaster,0.0005891549534342602
pandemia,0.000587145717656587
laos,0.0005870569760419128
vientiane,0.0005870569760419128
2019_ncov,0.0005868324198039066
edtech,0.0005832823528347965
france,0.0005825035185681617
โคโรน่าไวรัส,0.0005819801244380234
ไม่เอาเพนกวิ้นปราศรัย,0.0005819801244380234
ธรรมศาสตร์และการชุมนุม,0.0005819801244380234
ช่วยอนคตั้งชื่อพรรค,0.0005819801244380234
ช่วยอนคตั้งชื่อพรรคใหม่,0.0005819801244380234
ไม่เอาเผด็จการ,0.0005819801244380234
indiadeservesbetter,0.0005811086254319799
stopthespread,0.0005733503901589902
coronavirusny,0.0005706905286985457
god,0.0005705164295904108
少年译制,0.0005682976105828175
xijinping,0.0005657044037266884
thx131,0.000564680540319791
기부,0.000564680540319791
선한영향력,0.000564680540319791
thx쌍방울,0.000564680540319791
still여전해,0.000564680540319791
protect_131fan,0.000564680540319791
지켜줄게_131팬,0.000564680540319791
prayingforryan,0.0005642155927301881
chemun,0.0005642155927301881
รัฐบาลเฮ็งซวย,0.0005642155927301881
dayton500,0.0005642155927301881
happybirthdayjhope,0.0005642155927301881
kissesdelavin,0.0005642155927301881
bitcoin,0.0005560399703379019
btc,0.0005560399703379019
hongkongprotests,0.0005536567703822661
food,0.000553201492606919
media,0.0005512598784462667
law,0.0005512598784462667
government,0.0005512598784462667
democracy,0.0005512598784462667
republicans,0.0005512598784462667
libertarians,0.0005512598784462667
wuhanoutbreak2019,0.0005512598784462667
censorship,0.0005512598784462667
offthegrid,0.0005512598784462667
patriots,0.0005512598784462667
breaking_news,0.0005512598784462666
coronavirustruth,0.0005507980239765457
lockdownuknow,0.0005501539033489477
richmondpark,0.0005501539033489476
coronacrisisuk,0.0005501539033489476
friends,0.0005459021873838146
orgy,0.0005459021873838146
porn,0.0005459021873838146
sex,0.0005459021873838146
xxx,0.0005459021873838146
fuck,0.0005459021873838146
tattooedwomen,0.0005459021873838146
boobs,0.0005459021873838146
cnc,0.0005459021873838146
humpday,0.0005459021873838146
humiliation,0.0005459021873838146
pornhub,0.0005459021873838146
武漢肺炎,0.0005447257227269651
novelcoronavirus,0.0005432869380160102
racist,0.0005427846914763179
ncov2019,0.0005423813610078038
spain,0.0005416333586213017
kashmir,0.0005403548919265689
modi,0.0005395854419778196
syria,0.0005395854419778196
kremlin,0.0005395854419778196
putin,0.0005395854419778196
isis,0.0005395854419778196
globalpandemia,0.0005395854419778196
