hashtag,PRree
coronavirus,0.1620268816099429
covid19,0.06731771967492625
coronavirusitalia,0.023197763178209097
conte,0.015790728801253383
cina,0.01401348805879603
covid19italia,0.012588272995066003
radiosavana,0.012277763560412087
coronaviruscanada,0.011236655387311303
coronaviruschina,0.01087358424865759
italia,0.010810003729522885
coronavirusoutbreak,0.010411441956049662
coronavirusjapan,0.010411441956049662
coronavirusmexico,0.010411441956049662
coronaviruswuhan,0.010411441956049662
coronavirusthailand,0.010411441956049662
coronavirususa,0.010411441956049662
coronavirusfrance,0.010411441956049662
lombardia,0.009408711498584207
covid2019,0.008373233663715469
coronavirusitalla,0.008002832189397098
covidー19,0.007919161177427851
covid_19,0.007033088810611796
governo,0.006908464932679404
fontana,0.006681699456067229
corona,0.005929236089578547
covid,0.005916419395589178
codogno,0.0058892959587200176
migranti,0.005822067397225964
mattarella,0.005816838204416225
drittoerovescio,0.00578461924976713
africa,0.0056959573457509285
salvini,0.005572581870974468
coronavirusuk,0.004611767035254345
brilliantbritish,0.004611767035254345
beautifullondon,0.004611767035254345
discrimination,0.004611767035254345
veneto,0.00457898415252364
viruscorona,0.0045450009450409695
governodelcontagio,0.004467552165492475
coronavirusitaly,0.004391966914645874
zaia,0.004386100667887612
portaaporta,0.004375359980475608
australia,0.004348167113985206
virus,0.004138346075027262
iraq,0.00403483562311771
turchia,0.00403483562311771
pechino,0.004029135037235354
lega,0.004012120244892022
roma,0.00393869710068473
orban,0.003913055409901927
contedimettiti,0.0038232310415724697
bertolaso,0.0038056659369034847
facciamorete,0.0036984943346362793
barconi,0.003695735767169447
sansonetti,0.003695735767169447
costamagna,0.003695735767169447
meloni,0.003695735767169447
wuhan,0.003638435140812991
lamorgese,0.003634723654381477
russia,0.0035438058906733733
statiuniti,0.0035438058906733733
ansa,0.0035187437059570085
covid19italy,0.003518187349183959
inter,0.0033703279969717827
quarantena,0.0033478260514331034
china,0.003216804321570107
aggiornamento,0.0031750512100625194
viruscina,0.0031750512100625194
contagio,0.0031750512100625194
viruscinese,0.0031750512100625194
viruschinois,0.0031750512100625194
viruschina,0.0031750512100625194
ong,0.0029988956063595144
padova,0.0029671850999748663
burioni,0.0029497808850384127
coronavirues,0.0028922319321501517
covid_2019,0.0028055725062111183
epidemia,0.002774751409993325
iorestoacasa,0.0027664417052039522
speranza,0.002711153763904574
voeuganeo,0.002608875957591247
folgore,0.002608875957591246
oceanviking,0.002608875957591246
pozzallo,0.002608875957591246
tonicapuozzo,0.002515265249887369
nonelarena,0.002515265249887369
la7,0.002515265249887369
giletti,0.002515265249887369
sileri,0.002515265249887369
polmonite,0.0025043644403113835
democrazia,0.0025005921145338293
carceri,0.002489527283934927
borsa,0.002489527283934927
giuseppi,0.002489527283934927
churchill,0.002489527283934927
economics,0.0024571338954549288
lagarde,0.0024571338954549288
crisis,0.0024571338954549288
quartarepubblica,0.0024571338954549288
fuoridalcoro,0.0024571338954549288
23febbraio,0.002409509929565702
schettino,0.002395443975625024
basta,0.002395443975625024
coronavirusupdate,0.0023432650095417808
koca,0.002338254294818563
sudcorea,0.002338254294818563
iran,0.002338254294818563
italiazonarossa,0.002334058335530598
restiamoacasa,0.002334058335530598
quarantaine,0.002322822874466067
quarantine,0.0023228228744660655
pneumonia,0.002322822874466065
chine,0.002322822874466059
coronarvirusitalia,0.002304854965091371
coronavid19,0.0022445888596349006
sulaymaniyya,0.002162743920864501
kurdistan,0.002162743920864501
krg,0.002162743920864501
mes,0.002150225889113748
piazzapulita,0.0021288068624148076
getafe,0.0021097384283437484
coppaitalia,0.0021097384283437484
amala,0.0021097384283437484
milanononsiferma,0.002032159568349602
milanoêtuttainfetta,0.002032159568349602
lineanotte,0.002032159568349602
governorossogiallo,0.002022751515529676
casalino,0.0019472427798221394
grandefratello,0.0019472427798221394
carolarackete,0.0019472427798221394
coronaviruslombardia,0.0019279431820166419
adrianotrevisan,0.0019133365196723766
covid2019italia,0.0018971267287556477
rossi,0.001883302326824069
toscana2020,0.001883302326824069
elezioniregionali,0.001883302326824069
hongkong,0.0018832624168556402
iostoacasa,0.0018832624168556402
travaglio,0.0018803409184585454
dittatore,0.0018803409184585454
coronapandemie,0.0018740622846842212
25marzo,0.0018740622846842212
leonardo,0.0018740622846842205
propagandalive,0.0018706901880714136
cnf,0.0018550280362607387
cassaforense,0.0018550280362607387
avvocati,0.0018550280362607387
lavoratori,0.0018550280362607382
autonomi,0.0018550280362607382
pmi,0.0018550280362607382
rt,0.0018550280362607374
fsi,0.0018550280362607374
riconquistarelitalia,0.0018550280362607374
bassignana,0.0018534116776537208
rete,0.0018534116776537208
infodemia,0.0018534116776537208
nord,0.0018420144640838943
sossa,0.0018420144640838943
cheschifo,0.0018420144640838943
catenodeluca,0.001839105441863661
messina,0.001839105441863661
hatchett,0.001836775610807104
grippe,0.001836775610807104
risorseinps,0.0018195339014651505
ue,0.0018019648532107007
casalpusterlengo,0.0017845197194300139
italie,0.0017803034521766462
codvid19italia,0.001747892628123975
interludogorets,0.0016926971111130055
europaleague,0.0016926971111130055
smog,0.0016552975651484894
torino,0.0016552975651484894
mascherina,0.0016012686733837362
regionefvg,0.0015979433335834327
1marzo,0.0015979433335834327
germania,0.0015837530512156008
cavalloditroika,0.0015837530512156008
amuchina,0.0015603034895214916
fckkoronavirus,0.0015603034895214916
vogliamovotare,0.0015143084584115273
coronvirus,0.0015116910813456094
superspreader,0.001507968610683409
filippo,0.0015036081121303634
reginaelisabetta,0.0015036081121303634
nigeria,0.0014969598780404663
etiopia,0.0014969598780404663
crisanti,0.0014810060658624997
corus,0.0014651620107799883
coronaviriusitalia,0.0014470056426296339
chinavirus,0.0014397402638801804
lockdown,0.0014397402638801802
attendezquonsorte,0.0014091456642703636
macrondestitution,0.0014091456642703636
avvisots,0.001397992143268962
trieste,0.001397992143268962
sciacallovirus,0.001397992143268962
sciacallozero,0.001397992143268962
spesapubblica,0.001397992143268962
debitopubblico,0.001397992143268962
m5s,0.0013511870325221872
di,0.0013494887364264678
rugani,0.001338234119806106
zhang,0.001338234119806106
fake,0.0013359709453916848
japón,0.0013356231528179677
barbarabalanzoni,0.0013082791063899549
schengen,0.001293564985656364
xijinping,0.0012775381699421193
carlotaormina,0.0012689979245614858
narcoscanada,0.0012079947228279724
coronvirusitalia,0.0012069849122402286
lesbo,0.001201367147344829
inchiestacoronavirus,0.0011867630136869272
israele,0.0011200290539038898
ventisette02fr,0.001118217500823737
dimaio,0.001088037333059504
raggi,0.0010828365270114874
milano,0.0010775858136934276
coranavirusitalia,0.0010757054139075046
contevirus,0.0010755784591532898
livorno,0.0010705006164831517
sciacallo,0.0010669951818423362
novax,0.0010661747192719406
gentedimerda,0.0010634190500664303
titolov,0.001053764381560796
napoli,0.001041029551160341
nellatestadeldragone,0.001032912114109973
japon,0.001031813855780797
zingaretti,0.001031813855780797
coronaviruschino,0.001031813855780797
argentina,0.001031813855780797
coachella2020,0.001031813855780797
koronavirus,0.001031813855780797
restateacasa,0.001031813855780797
politica,0.0010214256322584186
coronavirius,0.0010072631087953124
quartogrado,0.0009952833338503107
ctcf,0.0009952833338503107
zonerosse,0.0009952833338503107
ihaveadream,0.0008038454823796525
19febbraio,0.0008038454823796525
21febbraio,0.0008038454823796525
agi,0.0008038454823796525
montefusco,0.0008038454823796525
economia,0.0008038454823796525
coglionevirus,0.0008038454823796525
lignano,0.0008038454823796525
staseraitalia,0.0008038454823796525
mafia,0.0008038454823796525
aggiornamentisulcoronavirus,0.0008038454823796525
tenerife,0.0008038454823796525
fakenews,0.0008038454823796525
inail,0.0008038454823796525
uaetour,0.0008038454823796525
beautifulscience,0.0008038454823796525
juventusmilan,0.0008038454823796525
fornero,0.0008038454823796525
agorarai,0.0008038454823796525
klopp,0.0008038454823796525
bce,0.0008038454823796525
xiaomi,0.0008038454823796525
7marzo,0.0008038454823796525
acireale,0.0008038454823796525
sbronzitutti,0.0008038454823796525
pietre,0.0008038454823796525
andratuttobene,0.0008038454823796525
kenya,0.0008038454823796525
cecchipaone,0.0008038454823796525
g7,0.0008038454823796525
socialdistance,0.0008038454823796525
diamond_princess,0.0007694846188885099
coronavirusveneto,0.0007694846188885099
nacionales,0.0007694846188885099
seriea,0.0007694846188885099
enitcomunica,0.0007694846188885099
quedateencasa,0.0007694846188885099
europeicontrocovid19,0.0007694846188885099
